Date;BTC;ETH;DOGE;LTC;HEX
2021-12-06;49413.480469;4199.000000;0.171383;156.511353;0.153565
2021-12-07;50581.828125;4358.586914;0.178374;161.783752;0.141552
2021-12-08;50667.648438;4311.674316;0.176609;162.042221;0.135711
2021-12-09;50450.082031;4433.024902;0.178961;164.959274;0.131709
2021-12-10;47642.144531;4113.588379;0.169466;151.754440;0.140976
2021-12-11;47264.632813;3909.667725;0.164499;148.741959;0.135771
2021-12-12;49354.855469;4084.811279;0.168904;157.925339;0.160567
2021-12-13;50114.742188;4136.359863;0.169880;159.354431;0.154069
2021-12-14;46709.824219;3782.822754;0.157465;144.622055;0.161863
2021-12-15;48379.753906;3862.251465;0.191144;150.611298;0.192639
2021-12-16;48900.464844;4020.415039;0.181171;153.510849;0.218474
2021-12-17;47653.730469;3959.012451;0.173381;148.980377;0.229646
2021-12-18;46219.253906;3880.291504;0.169100;144.264786;0.196943
2021-12-19;46853.867188;3960.872314;0.172533;148.710480;0.222060
2021-12-20;46707.062500;3923.695801;0.169523;153.260483;0.243147
2021-12-21;46886.078125;3938.463867;0.167098;152.505615;0.272086
2021-12-22;48937.097656;4018.695801;0.171129;155.033981;0.297119
2021-12-23;48626.343750;3981.961670;0.173209;155.538940;0.275911
2021-12-24;50806.050781;4111.345215;0.184979;163.552475;0.294457
2021-12-25;50854.917969;4049.781982;0.186712;161.490829;0.308018
2021-12-26;50428.691406;4094.151611;0.190567;157.773712;0.302289
2021-12-27;50802.609375;4064.746338;0.189986;155.884995;0.287654
2021-12-28;50679.859375;4037.538086;0.187847;155.982071;0.298607
2021-12-29;47623.871094;3797.436279;0.174095;145.936813;0.289805
2021-12-30;46490.605469;3632.219727;0.168137;145.585709;0.330722
2021-12-31;47169.371094;3713.430176;0.171317;148.209534;0.314431
2022-01-01;46311.746094;3683.047119;0.170510;146.536865;0.284991
2022-01-02;47680.925781;3769.298340;0.173027;150.685303;0.248434
2022-01-03;47343.542969;3829.535645;0.174406;151.263397;0.217475
2022-01-04;46458.851563;3761.361572;0.170151;148.467773;0.244516
2022-01-05;45899.359375;3794.269043;0.168835;146.811295;0.246714
2022-01-06;43565.511719;3549.708984;0.159436;136.077316;0.203662
2022-01-07;43153.570313;3417.837891;0.160205;136.491867;0.214324
2022-01-08;41561.464844;3193.502441;0.155031;131.494843;0.222670
2022-01-09;41734.726563;3091.696289;0.151959;130.137344;0.244891
2022-01-10;41910.230469;3157.570557;0.151073;131.303879;0.243946
2022-01-11;41819.507813;3082.990967;0.143351;126.826050;0.232914
2022-01-12;42742.179688;3238.449951;0.153458;131.554688;0.227261
